id,question,answerable,evidenceCount,expectedEvidenceHit,citationCoverage,totalLatencyMs,manualRelevance0to5,manualCompleteness0to5,manualCitationValidity0to5,manualHallucinationRisk0to5,notes
r001,帮我推荐几本爱情小说，并说明推荐顺序。,true,5,true,1.0,30849,,,,,
r002,Pride and Prejudice 和 Sense and Sensibility 应该先读哪本？,true,5,true,0.4,18733,,,,,
r003,我想从经典科幻入门，先读哪几本？,true,5,true,1.0,27331,,,,,
r004,The Every 和 Player Piano 都在讨论技术社会吗？帮我比较。,true,5,true,0.4,34048,,,,,
r005,找几本关于外星人、未来社会或技术伦理的科幻。,true,5,true,1.0,26747,,,,,
r006,有没有关于机器人或人工智能主题的书？,true,5,true,1.0,28373,,,,,
r007,帮我找几本恐怖悬疑小说，要求不要太学术。,true,5,false,1.0,37294,,,,,
r008,The Year of the Witching 适合什么读者？,true,5,true,0.2,32695,,,,,
r009,The Chalk Man 和 Pine 的风格有什么区别？,true,5,true,0.4,23279,,,,,
r010,帮我做一个恐怖小说入门阅读路径。,true,5,false,1.0,36412,,,,,
r011,我想提升习惯和自我管理，应该读哪几本？,true,5,true,1.0,20280,,,,,
r012,The Power of Habit 为什么适合入门？,true,5,true,0.6,24079,,,,,
r013,找几本关于自我探索和心理成长的书。,true,5,true,1.0,33501,,,,,
r014,ego development 相关书有哪些，难度如何？,true,5,true,1.0,36342,,,,,
r015,女性成长或女性赋权主题有哪些书？,true,5,true,1.0,25482,,,,,
r016,Empowerment of Women Through Self Help Groups 主要适合谁读？,true,5,true,1.0,31358,,,,,
r017,我想读日本历史或社会变迁方向的书。,true,5,true,1.0,27173,,,,,
r018,The Winner's Curse 可以归到什么主题，为什么推荐？,true,5,true,1.0,28814,,,,,
r019,推荐几本数学入门相关的书，并说明先后顺序。,true,5,false,1.0,21413,,,,,
r020,The Music of the Primes 和 A History of Mathematics 哪本更适合先读？,true,5,true,0.4,20106,,,,,
r021,帮我找几本和 Java 或系统设计相关的书。,true,5,true,0.6,24704,,,,,
r022,如果没有 Java 书，系统应该如何基于证据回答？,true,5,false,0.6,5852,,,,,
r023,Portable C and UNIX System Programming 和算法书有什么区别？,true,5,true,0.4,35350,,,,,
r024,Tractatus Logico-Philosophicus 为什么会出现在数学或逻辑相关检索里？,true,5,true,0.2,9495,,,,,
r025,推荐几本适合讨论逻辑、数学思维或算法的书。,true,5,false,1.0,29551,,,,,
r026,我喜欢星球大战，有馆藏相关书吗？,true,5,true,1.0,33531,,,,,
r027,Doctor Who: Molten Heart 是什么类型的书？,true,5,true,0.2,4125,,,,,
r028,Eve of Man 适合青少年读者吗？请基于证据回答。,true,5,true,0.2,15557,,,,,
r029,The Book of Sand 这本书适合什么样的科幻读者？,true,5,true,1.0,19293,,,,,
r030,Appliance 和 The Book of Sand 都偏心理氛围吗？,true,5,true,0.4,10990,,,,,
r031,按入门、进阶、深入给我排几本科幻。,true,5,true,0.6,17630,,,,,
r032,我想看科技伦理，但不要纯技术书，有哪些小说？,true,5,true,1.0,24013,,,,,
r033,找几本带社会批判意味的小说。,true,5,false,1.0,27134,,,,,
r034,Jane Austen 的作品有什么共同特点？,true,5,true,1.0,26474,,,,,
r035,H. G. Wells 的两本馆藏作品怎么选？,true,5,true,0.4,15751,,,,,
r036,Jojo Moyes 的 The Giver of Stars 推荐理由是什么？,true,5,true,0.6,23335,,,,,
r037,Mix Tape 和 Live a Little 哪本更偏温情爱情？,true,5,true,0.4,20787,,,,,
r038,帮我找一本关于第二次机会的爱情小说。,true,5,true,1.0,22894,,,,,
r039,帮我找一本关于晚年爱情的小说。,true,5,true,1.0,26346,,,,,
r040,找几本适合做女性主义或女性处境讨论的书。,true,5,true,1.0,24383,,,,,
r041,我想读古典文学分析相关内容，馆藏有什么？,true,5,false,1.0,42464,,,,,
r042,Hidden Paths 为什么可能不适合初学者？,true,5,true,0.8,21291,,,,,
r043,找一本与家庭、自我和关系有关的自助书。,true,5,true,1.0,23544,,,,,
r044,Midlife Mothers in Transition 面向什么人群？,true,5,true,0.2,6894,,,,,
r045,The Magic Within 和 Inquiring about Myself 哪本更适合入门？,true,5,true,0.6,16318,,,,,
r046,我想找关于母亲原型或女性灵性的书。,true,5,true,1.0,34403,,,,,
r047,帮我推荐一些历史类或真实事件相关书。,true,5,false,1.0,28263,,,,,
r048,找运动或励志传记相关馆藏。,true,5,true,1.0,30974,,,,,
r049,如果证据不足，回答应该怎样限制结论？,true,5,true,0.6,14226,,,,,
r050,基于当前馆藏，能不能推荐数据密集型系统设计书？,true,5,true,1.0,27573,,,,,
r051,请总结爱情类推荐证据里的共同主题。,true,5,true,1.0,17254,,,,,
r052,请总结科幻类推荐证据里的共同主题。,true,5,true,1.0,22129,,,,,
r053,请总结自我成长类书籍的常见适读人群。,true,5,true,1.0,25964,,,,,
r054,只看可借资源，爱情小说应该优先选哪本？,true,5,true,1.0,27341,,,,,
r055,只看可借资源，科幻小说应该优先选哪本？,true,5,false,1.0,20468,,,,,
r056,按难度重新排序这些自助书证据。,true,5,false,1.0,43779,,,,,
r057,继续找 Jane Austen 的相关作品。,true,5,true,1.0,36811,,,,,
r058,继续找 H. G. Wells 的相关作品。,true,5,true,0.4,19116,,,,,
r059,帮我比较几本数学和逻辑相关的书。,true,5,false,1.0,60767,,,,,
r060,请给一个从爱情小说到社会讽刺的阅读路径。,true,5,true,1.0,32218,,,,,
