id,question,answerable,evidenceCount,expectedEvidenceHit,citationCoverage,totalLatencyMs,manualRelevance0to5,manualCompleteness0to5,manualCitationValidity0to5,manualHallucinationRisk0to5,notes
r001,帮我推荐几本爱情小说，并说明推荐顺序。,True,5,True,1.0,13054,,,,,
r002,Pride and Prejudice 和 Sense and Sensibility 应该先读哪本？,True,5,True,0.6,13801,,,,,
r003,我想从经典科幻入门，先读哪几本？,True,5,True,1.0,12607,,,,,
r004,The Every 和 Player Piano 都在讨论技术社会吗？帮我比较。,True,5,True,0.8,16345,,,,,
r005,找几本关于外星人、未来社会或技术伦理的科幻。,True,5,True,1.0,12725,,,,,
r006,有没有关于机器人或人工智能主题的书？,True,5,True,1.0,12777,,,,,
r007,帮我找几本恐怖悬疑小说，要求不要太学术。,True,5,False,1.0,12127,,,,,
r008,The Year of the Witching 适合什么读者？,True,5,True,0.6,12784,,,,,
r009,The Chalk Man 和 Pine 的风格有什么区别？,True,5,True,0.8,11584,,,,,
r010,帮我做一个恐怖小说入门阅读路径。,True,5,False,1.0,19527,,,,,
r011,我想提升习惯和自我管理，应该读哪几本？,True,5,True,1.0,12624,,,,,
r012,The Power of Habit 为什么适合入门？,True,5,True,1.0,12441,,,,,
r013,找几本关于自我探索和心理成长的书。,True,5,True,1.0,10359,,,,,
r014,ego development 相关书有哪些，难度如何？,True,5,True,1.0,19169,,,,,
r015,女性成长或女性赋权主题有哪些书？,True,5,True,1.0,14495,,,,,
r016,Empowerment of Women Through Self Help Groups 主要适合谁读？,True,5,True,1.0,12511,,,,,
r017,我想读日本历史或社会变迁方向的书。,True,5,True,1.0,15774,,,,,
r018,The Winner's Curse 可以归到什么主题，为什么推荐？,True,5,True,1.0,18183,,,,,
r019,推荐几本数学入门相关的书，并说明先后顺序。,True,5,False,1.0,11461,,,,,
r020,The Music of the Primes 和 A History of Mathematics 哪本更适合先读？,True,5,True,0.4,9012,,,,,
r021,帮我找几本和 Java 或系统设计相关的书。,True,5,True,0.6,11526,,,,,
r022,如果没有 Java 书，系统应该如何基于证据回答？,True,5,False,0.6,3854,,,,,
r023,Portable C and UNIX System Programming 和算法书有什么区别？,True,5,True,0.6,19756,,,,,
r024,Tractatus Logico-Philosophicus 为什么会出现在数学或逻辑相关检索里？,True,5,True,0.2,7261,,,,,
r025,推荐几本适合讨论逻辑、数学思维或算法的书。,True,5,False,1.0,13542,,,,,
r026,我喜欢星球大战，有馆藏相关书吗？,True,5,True,0.6,10536,,,,,
r027,Doctor Who: Molten Heart 是什么类型的书？,True,5,True,0.2,2932,,,,,
r028,Eve of Man 适合青少年读者吗？请基于证据回答。,True,5,True,1.0,17457,,,,,
r029,The Book of Sand 这本书适合什么样的科幻读者？,True,5,True,1.0,14370,,,,,
r030,Appliance 和 The Book of Sand 都偏心理氛围吗？,True,5,True,0.4,8173,,,,,
r031,按入门、进阶、深入给我排几本科幻。,True,5,True,0.6,10165,,,,,
r032,我想看科技伦理，但不要纯技术书，有哪些小说？,True,5,True,1.0,12937,,,,,
r033,找几本带社会批判意味的小说。,True,5,False,1.0,13610,,,,,
r034,Jane Austen 的作品有什么共同特点？,True,5,True,1.0,14267,,,,,
r035,H. G. Wells 的两本馆藏作品怎么选？,True,5,True,0.4,30742,,,,,
r036,Jojo Moyes 的 The Giver of Stars 推荐理由是什么？,True,5,True,0.6,53213,,,,,
r037,Mix Tape 和 Live a Little 哪本更偏温情爱情？,True,5,True,0.4,44175,,,,,
r038,帮我找一本关于第二次机会的爱情小说。,True,5,True,1.0,48381,,,,,
r039,帮我找一本关于晚年爱情的小说。,True,5,True,1.0,63329,,,,,
r040,找几本适合做女性主义或女性处境讨论的书。,True,5,True,1.0,46961,,,,,
r041,我想读古典文学分析相关内容，馆藏有什么？,True,5,False,1.0,85218,,,,,
r042,Hidden Paths 为什么可能不适合初学者？,True,5,True,0.8,45007,,,,,
r043,找一本与家庭、自我和关系有关的自助书。,True,5,True,1.0,50074,,,,,
r044,Midlife Mothers in Transition 面向什么人群？,True,5,True,0.2,14513,,,,,
r045,The Magic Within 和 Inquiring about Myself 哪本更适合入门？,True,5,True,0.6,41072,,,,,
r046,我想找关于母亲原型或女性灵性的书。,True,5,True,1.0,55826,,,,,
r047,帮我推荐一些历史类或真实事件相关书。,True,5,False,1.0,64913,,,,,
r048,找运动或励志传记相关馆藏。,True,5,True,1.0,61842,,,,,
r049,如果证据不足，回答应该怎样限制结论？,True,5,True,0.6,31814,,,,,
r050,基于当前馆藏，能不能推荐数据密集型系统设计书？,True,5,True,1.0,60770,,,,,
r051,请总结爱情类推荐证据里的共同主题。,True,5,True,1.0,34619,,,,,
r052,请总结科幻类推荐证据里的共同主题。,True,5,True,0.8,43371,,,,,
r053,请总结自我成长类书籍的常见适读人群。,True,5,True,1.0,50261,,,,,
r054,只看可借资源，爱情小说应该优先选哪本？,True,5,True,1.0,57981,,,,,
r055,只看可借资源，科幻小说应该优先选哪本？,True,5,False,0.6,37115,,,,,
r056,按难度重新排序这些自助书证据。,True,5,False,1.0,57009,,,,,
r057,继续找 Jane Austen 的相关作品。,True,5,True,1.0,75181,,,,,
r058,继续找 H. G. Wells 的相关作品。,True,5,True,0.4,41865,,,,,
r059,帮我比较几本数学和逻辑相关的书。,True,5,False,0.6,120403,,,,,
r060,请给一个从爱情小说到社会讽刺的阅读路径。,True,5,True,0.2,169104,,,,,
